id	 steps			
2702	46		gemiddelde	105.0768
6054	48			
7813	48		steps	count
5321	49		46	1
5951	49		48	2
8415	50		49	2
1426	52		50	1
7033	52		52	4
8470	52		53	1
9501	52		54	3
1955	53		55	9
1815	54		56	1
3600	54		57	1
5092	54		58	7
978	55		59	12
4420	55		60	8
4606	55		61	21
5442	55		62	11
5691	55		63	17
6162	55		64	17
6267	55		65	21
7955	55		66	34
8795	55		67	22
2176	56		68	28
5580	57		69	40
660	58		70	45
3229	58		71	58
4653	58		72	50
6401	58		73	63
7385	58		74	84
7758	58		75	67
8502	58		76	78
1337	59		77	85
1466	59		78	85
2157	59		79	107
2881	59		80	15
2991	59		81	0
4100	59		82	0
4265	59		83	0
5431	59		84	0
7247	59		85	0
8591	59		86	0
9868	59		87	0
9869	59		88	0
556	60		89	0
566	60		90	0
808	60		91	0
939	60		92	0
1209	60		93	0
2031	60		94	0
5376	60		95	0
9654	60		96	0
29	61		97	0
755	61		98	0
1565	61		99	0
1705	61		100	0
1830	61		101	0
1932	61		102	0
3601	61		103	0
4478	61		104	0
5734	61		105	0
5851	61		106	0
5920	61		107	0
6975	61		108	0
6982	61		109	0
7242	61		110	0
7270	61		111	0
8041	61		112	0
8056	61		113	0
8175	61		114	0
8213	61		115	0
8743	61		116	0
9982	61		117	0
1040	62		118	0
1622	62		119	0
2242	62		120	0
3264	62		121	0
4567	62		122	0
5332	62		123	0
6629	62		124	0
6658	62		125	0
7602	62		126	0
8098	62		127	0
9231	62		128	0
479	63		129	0
1793	63		130	0
2212	63		131	0
2419	63		132	0
2432	63		133	0
3791	63		134	0
4147	63		135	0
4899	63		136	0
5035	63		137	0
7846	63		138	0
7901	63		139	0
8986	63		140	0
9251	63		141	0
9338	63		142	0
9761	63		143	0
9802	63		144	0
9814	63		145	0
199	64		146	0
321	64		147	0
608	64		148	0
1027	64		149	0
1316	64		150	0
1725	64		151	0
1919	64		152	0
3941	64		153	0
4963	64		154	0
5441	64		155	0
5696	64		156	0
5698	64		157	0
6419	64		158	0
7589	64		159	0
7911	64		160	0
9099	64		161	0
9589	64		162	0
651	65		163	0
1621	65		164	0
2343	65		165	0
2589	65		166	0
3987	65		167	0
4130	65		168	0
4664	65		169	0
4931	65		170	0
4933	65		171	0
5530	65		172	0
5892	65		173	0
6163	65		174	0
6224	65		175	0
6592	65		176	0
6670	65		177	0
6687	65		178	0
6959	65		179	0
7638	65		180	0
7925	65		181	0
8287	65		182	0
8425	65		183	0
157	66		184	0
990	66		185	0
1259	66		186	0
1447	66		187	0
1515	66		188	0
1566	66		189	0
2312	66		190	0
2885	66		191	0
3467	66		192	0
3645	66		193	0
3932	66		194	0
4159	66		195	0
4476	66		196	0
4712	66		197	0
4719	66		198	0
4792	66		199	0
4817	66		200	0
4962	66		201	0
5018	66		202	0
5038	66		203	0
5162	66		204	0
5757	66		205	0
5789	66		206	0
5906	66		207	0
6187	66		208	0
6227	66		209	0
6252	66		210	0
6531	66			
6992	66			
7015	66			
8126	66			
8532	66			
8663	66			
8947	66			
598	67			
760	67			
897	67			
2089	67			
2471	67			
2599	67			
3551	67			
4950	67			
5101	67			
5396	67			
5996	67			
6010	67			
6081	67			
6831	67			
6932	67			
7140	67			
7268	67			
7963	67			
8290	67			
8883	67			
9773	67			
9997	67			
241	68			
368	68			
645	68			
1118	68			
1194	68			
1493	68			
1866	68			
1965	68			
2289	68			
2363	68			
3584	68			
3742	68			
3934	68			
4438	68			
4485	68			
5377	68			
5448	68			
5762	68			
6490	68			
6521	68			
6721	68			
6767	68			
6804	68			
7032	68			
8286	68			
8354	68			
8484	68			
9716	68			
16	69			
75	69			
411	69			
944	69			
1175	69			
1331	69			
1980	69			
2154	69			
2492	69			
2561	69			
3027	69			
3684	69			
3730	69			
3747	69			
4453	69			
4487	69			
4528	69			
4554	69			
4844	69			
5228	69			
5403	69			
5567	69			
5961	69			
5964	69			
6045	69			
6355	69			
6480	69			
6709	69			
6942	69			
7330	69			
7376	69			
7683	69			
7766	69			
7922	69			
7957	69			
8210	69			
8760	69			
9071	69			
9658	69			
9719	69			
39	70			
43	70			
139	70			
298	70			
1141	70			
1191	70			
1917	70			
2283	70			
2472	70			
2877	70			
2938	70			
3115	70			
3165	70			
3294	70			
3372	70			
3504	70			
4395	70			
4596	70			
5147	70			
5208	70			
5351	70			
5378	70			
5632	70			
5648	70			
5845	70			
5918	70			
5963	70			
6129	70			
6750	70			
7017	70			
7362	70			
7384	70			
7446	70			
7560	70			
8196	70			
8545	70			
8570	70			
8593	70			
8729	70			
8857	70			
9016	70			
9019	70			
9326	70			
9397	70			
9565	70			
25	71			
138	71			
261	71			
486	71			
719	71			
818	71			
876	71			
1039	71			
1083	71			
1182	71			
1291	71			
1386	71			
1463	71			
1713	71			
2100	71			
2129	71			
2445	71			
2817	71			
2841	71			
2852	71			
2973	71			
3071	71			
3140	71			
3168	71			
4022	71			
4328	71			
4637	71			
5033	71			
5192	71			
5625	71			
5898	71			
6024	71			
6928	71			
6930	71			
6952	71			
6956	71			
7421	71			
7422	71			
7502	71			
7631	71			
7858	71			
8049	71			
8135	71			
8142	71			
8188	71			
8342	71			
8380	71			
8512	71			
8624	71			
9316	71			
9394	71			
9497	71			
9500	71			
9669	71			
9832	71			
9836	71			
9936	71			
9996	71			
14	72			
288	72			
345	72			
505	72			
623	72			
634	72			
892	72			
1134	72			
1225	72			
1952	72			
2332	72			
2480	72			
2617	72			
3254	72			
3359	72			
3386	72			
3486	72			
3704	72			
3776	72			
3950	72			
4275	72			
4401	72			
4568	72			
4607	72			
4693	72			
4832	72			
4884	72			
4902	72			
5073	72			
5165	72			
5379	72			
5546	72			
5613	72			
5659	72			
5725	72			
5818	72			
5900	72			
6333	72			
6891	72			
7089	72			
7180	72			
7483	72			
7585	72			
7926	72			
8647	72			
8809	72			
8996	72			
9031	72			
9369	72			
9709	72			
64	73			
85	73			
225	73			
461	73			
970	73			
1113	73			
1366	73			
1405	73			
1477	73			
1752	73			
1872	73			
2411	73			
2641	73			
2754	73			
2804	73			
2942	73			
3063	73			
3214	73			
3280	73			
3282	73			
3624	73			
4092	73			
4141	73			
4185	73			
4548	73			
4676	73			
4867	73			
5054	73			
5081	73			
5293	73			
5402	73			
5494	73			
5514	73			
5974	73			
6018	73			
6101	73			
6117	73			
6202	73			
6228	73			
6971	73			
7078	73			
7495	73			
7547	73			
7746	73			
7797	73			
7832	73			
7881	73			
7939	73			
7960	73			
8331	73			
8418	73			
8437	73			
8631	73			
8850	73			
9010	73			
9170	73			
9181	73			
9274	73			
9382	73			
9533	73			
9741	73			
9786	73			
9799	73			
212	74			
429	74			
470	74			
541	74			
656	74			
837	74			
1019	74			
1353	74			
1411	74			
1634	74			
1642	74			
1776	74			
1880	74			
1937	74			
2150	74			
2241	74			
2246	74			
2484	74			
2699	74			
3167	74			
3169	74			
3173	74			
3220	74			
3247	74			
3325	74			
3414	74			
3427	74			
3480	74			
3550	74			
3569	74			
3591	74			
3651	74			
3731	74			
3822	74			
3883	74			
4074	74			
4146	74			
4168	74			
4204	74			
4210	74			
4335	74			
4364	74			
4411	74			
4436	74			
4469	74			
4513	74			
4628	74			
4677	74			
4705	74			
4761	74			
5097	74			
5128	74			
5149	74			
5495	74			
5501	74			
5547	74			
5614	74			
5766	74			
5784	74			
5786	74			
5860	74			
6064	74			
6357	74			
6613	74			
6741	74			
6979	74			
7498	74			
7754	74			
7768	74			
7914	74			
8108	74			
8133	74			
8235	74			
8665	74			
9044	74			
9177	74			
9317	74			
9487	74			
9502	74			
9544	74			
9688	74			
9876	74			
9910	74			
9949	74			
135	75			
145	75			
263	75			
439	75			
504	75			
512	75			
547	75			
554	75			
559	75			
595	75			
912	75			
922	75			
953	75			
976	75			
1359	75			
1457	75			
1589	75			
1669	75			
1763	75			
1920	75			
2319	75			
2440	75			
2498	75			
2504	75			
2557	75			
2773	75			
2803	75			
3157	75			
3195	75			
3579	75			
3676	75			
3725	75			
3871	75			
4292	75			
4914	75			
4924	75			
4995	75			
5019	75			
5252	75			
5462	75			
5616	75			
5684	75			
5705	75			
5768	75			
6038	75			
6084	75			
6132	75			
6148	75			
6176	75			
6394	75			
6580	75			
6837	75			
6933	75			
7340	75			
7814	75			
7958	75			
8136	75			
8205	75			
8622	75			
8779	75			
8788	75			
8886	75			
9477	75			
9625	75			
9875	75			
9934	75			
9937	75			
86	76			
110	76			
190	76			
236	76			
291	76			
730	76			
739	76			
1062	76			
1082	76			
1103	76			
1120	76			
1139	76			
1181	76			
1197	76			
1276	76			
1297	76			
1422	76			
1523	76			
1712	76			
1718	76			
1849	76			
1973	76			
2107	76			
2200	76			
2338	76			
3020	76			
3498	76			
3851	76			
3865	76			
3892	76			
3904	76			
4003	76			
4065	76			
4128	76			
4226	76			
4399	76			
4738	76			
4755	76			
4772	76			
4788	76			
4813	76			
4960	76			
5044	76			
5191	76			
5214	76			
5692	76			
5702	76			
5839	76			
5894	76			
6000	76			
6640	76			
6829	76			
6845	76			
7097	76			
7125	76			
7535	76			
7779	76			
7850	76			
7865	76			
8004	76			
8090	76			
8119	76			
8209	76			
8254	76			
8277	76			
8341	76			
8444	76			
8481	76			
8683	76			
8824	76			
8975	76			
9101	76			
9440	76			
9515	76			
9655	76			
9665	76			
9720	76			
9796	76			
0	77			
162	77			
380	77			
484	77			
501	77			
569	77			
781	77			
877	77			
928	77			
956	77			
1313	77			
1744	77			
1764	77			
1796	77			
1810	77			
1824	77			
1957	77			
2285	77			
2321	77			
2345	77			
2380	77			
2410	77			
2476	77			
2506	77			
2616	77			
2751	77			
2760	77			
2807	77			
2870	77			
2875	77			
2904	77			
3218	77			
3319	77			
3366	77			
3509	77			
3547	77			
3593	77			
3616	77			
3777	77			
3790	77			
3807	77			
3821	77			
4010	77			
4345	77			
4459	77			
4632	77			
5380	77			
5528	77			
5852	77			
5975	77			
6109	77			
6123	77			
6229	77			
6275	77			
6476	77			
6545	77			
6945	77			
7104	77			
7253	77			
7285	77			
7503	77			
7541	77			
7566	77			
7611	77			
7633	77			
7642	77			
7663	77			
7829	77			
7890	77			
8001	77			
8009	77			
8177	77			
8194	77			
8272	77			
8770	77			
8995	77			
9006	77			
9111	77			
9279	77			
9306	77			
9318	77			
9606	77			
9686	77			
9820	77			
9980	77			
116	78			
255	78			
478	78			
526	78			
543	78			
599	78			
772	78			
832	78			
923	78			
999	78			
1038	78			
1152	78			
1174	78			
1237	78			
1271	78			
1273	78			
1325	78			
1696	78			
1878	78			
1888	78			
1966	78			
2067	78			
2224	78			
2253	78			
2425	78			
2590	78			
2621	78			
2636	78			
2693	78			
2745	78			
2806	78			
3039	78			
3185	78			
3238	78			
3243	78			
3343	78			
3378	78			
3406	78			
3419	78			
3884	78			
3894	78			
3997	78			
4262	78			
4334	78			
4700	78			
4752	78			
4769	78			
4800	78			
5199	78			
5504	78			
5555	78			
5699	78			
6105	78			
6223	78			
6253	78			
6622	78			
6854	78			
6934	78			
7059	78			
7314	78			
7368	78			
7441	78			
7507	78			
7533	78			
7554	78			
7587	78			
7659	78			
7709	78			
7908	78			
7977	78			
8072	78			
8174	78			
8350	78			
8572	78			
8644	78			
8655	78			
8834	78			
9174	78			
9361	78			
9476	78			
9594	78			
9824	78			
9826	78			
9873	78			
9884	78			
52	79			
73	79			
104	79			
202	79			
207	79			
333	79			
340	79			
678	79			
759	79			
884	79			
1020	79			
1042	79			
1070	79			
1094	79			
1157	79			
1239	79			
1241	79			
1250	79			
1277	79			
1349	79			
1419	79			
1430	79			
1497	79			
1556	79			
1761	79			
1814	79			
1832	79			
1915	79			
1918	79			
1961	79			
1983	79			
2123	79			
2244	79			
2260	79			
2450	79			
2494	79			
2509	79			
2613	79			
2650	79			
2696	79			
2711	79			
2965	79			
2999	79			
3010	79			
3025	79			
3112	79			
3194	79			
3276	79			
3470	79			
3770	79			
3781	79			
4083	79			
4143	79			
4261	79			
4269	79			
4804	79			
4806	79			
4839	79			
4893	79			
5058	79			
5084	79			
5129	79			
5220	79			
5535	79			
5550	79			
5589	79			
5683	79			
5753	79			
5830	79			
5834	79			
5875	79			
6020	79			
6303	79			
6632	79			
6649	79			
6674	79			
6810	79			
6841	79			
6886	79			
6900	79			
7008	79			
7080	79			
7081	79			
7177	79			
7258	79			
7605	79			
7793	79			
7843	79			
7863	79			
8063	79			
8225	79			
8340	79			
8388	79			
8496	79			
8535	79			
8762	79			
8832	79			
8990	79			
8997	79			
9068	79			
9074	79			
9075	79			
9142	79			
9225	79			
9381	79			
9427	79			
9790	79			
34	80			
40	80			
59	80			
108	80			
119	80			
224	80			
372	80			
464	80			
694	80			
700	80			
864	80			
973	80			
1243	80			
1281	80			
1292	80			
1410	80			
1505	80			
1577	80			
1710	80			
1759	80			
1874	80			
1951	80			
1960	80			
1967	80			
2056	80			
2069	80			
2095	80			
2103	80			
2167	80			
2264	80			
2292	80			
2333	80			
2528	80			
2609	80			
2704	80			
2710	80			
2787	80			
2799	80			
2958	80			
2996	80			
3151	80			
3358	80			
3508	80			
3628	80			
3833	80			
3936	80			
3957	80			
3994	80			
4046	80			
4082	80			
4108	80			
4138	80			
4189	80			
4207	80			
4305	80			
4531	80			
4597	80			
4654	80			
4710	80			
4846	80			
4865	80			
5131	80			
5203	80			
5348	80			
5482	80			
5499	80			
5533	80			
5574	80			
5586	80			
5626	80			
5638	80			
5655	80			
5745	80			
5833	80			
5973	80			
